patch,games,start_date,end_date,blue_winrate
14.23,50,2024-11-30 04:08:00,2024-12-08 09:03:00,0.58
14.16,55,2024-08-23 08:10:00,2024-09-08 10:44:00,0.5636363636363636
14.15,106,2024-08-05 05:12:00,2024-08-20 11:30:00,0.5660377358490566
14.14,93,2024-07-22 05:15:00,2024-08-04 09:39:00,0.5483870967741935
14.13,96,2024-07-08 05:10:00,2024-07-21 10:07:00,0.5
14.12,97,2024-06-17 05:25:00,2024-06-30 10:54:00,0.5360824742268041
14.11,50,2024-06-10 05:06:00,2024-06-16 10:11:00,0.52
14.6,56,2024-03-30 06:10:00,2024-04-14 10:19:00,0.5892857142857143
14.5,52,2024-03-18 05:13:00,2024-03-26 10:46:00,0.46153846153846156
14.4,98,2024-03-04 05:13:00,2024-03-17 11:49:00,0.45918367346938777
14.3,94,2024-02-19 05:12:00,2024-03-03 08:54:00,0.5531914893617021
14.2,46,2024-02-05 05:07:00,2024-02-18 09:29:00,0.5
14.1,150,2024-01-15 05:06:00,2024-02-04 10:13:00,0.5666666666666667
13.14,120,2023-07-31 05:08:00,2023-08-26 09:00:00,0.5416666666666666
13.13,58,2023-07-10 05:12:00,2023-07-30 10:42:00,0.5517241379310345
13.12,183,2023-06-26 05:11:00,2023-07-23 10:31:00,0.5300546448087432
13.11,89,2023-06-12 05:08:00,2023-06-25 10:35:00,0.48314606741573035
13.10,47,2023-06-05 05:04:00,2023-06-11 11:26:00,0.48936170212765956
13.5,115,2023-03-13 05:06:00,2023-04-09 09:27:00,0.5652173913043478
13.4,97,2023-02-27 05:10:00,2023-03-12 11:30:00,0.5463917525773195
13.3,97,2023-02-13 05:10:00,2023-02-26 10:52:00,0.5051546391752577
13.1,198,2023-01-16 05:16:00,2023-02-12 09:44:00,0.5353535353535354
12.14,88,2022-08-08 08:04:00,2022-08-28 08:42:00,0.5568181818181818
12.13,92,2022-07-25 08:07:00,2022-08-07 12:36:00,0.5217391304347826
12.12,132,2022-07-04 08:01:00,2022-07-24 12:05:00,0.48484848484848486
12.11,86,2022-06-20 08:02:00,2022-07-03 12:01:00,0.5232558139534884
12.10,42,2022-06-13 08:02:00,2022-06-19 13:19:00,0.40476190476190477
12.5,81,2022-03-14 09:06:00,2022-04-02 11:56:00,0.5185185185185185
12.4,81,2022-02-28 08:04:00,2022-03-13 13:13:00,0.5185185185185185
12.3,85,2022-02-14 08:05:00,2022-02-27 13:07:00,0.5176470588235295
12.2,88,2022-01-24 08:03:00,2022-02-13 13:19:00,0.5454545454545454
12.1,87,2022-01-10 08:08:00,2022-01-23 12:12:00,0.4367816091954023
11.23,39,2021-12-10 06:05:00,2021-12-12 11:17:00,0.5641025641025641
11.16,18,2021-08-18 06:13:00,2021-08-28 11:09:00,0.5555555555555556
11.15,38,2021-08-05 05:52:00,2021-08-15 11:34:00,0.5263157894736842
11.14,43,2021-07-22 06:33:00,2021-08-01 12:11:00,0.5348837209302325
11.13,44,2021-07-07 06:24:00,2021-07-18 12:20:00,0.5454545454545454
11.12,51,2021-06-23 06:16:00,2021-07-04 12:28:00,0.45098039215686275
11.11,50,2021-06-09 06:29:00,2021-06-20 12:29:00,0.5
11.6,18,2021-03-31 07:03:00,2021-04-10 10:29:00,0.6111111111111112
11.5,38,2021-03-18 06:24:00,2021-03-28 12:15:00,0.6052631578947368
11.4,35,2021-03-04 05:17:00,2021-03-14 12:15:00,0.45714285714285713
11.3,44,2021-02-17 06:33:00,2021-02-28 12:30:00,0.5681818181818182
11.2,47,2021-01-27 05:47:00,2021-02-07 11:18:00,0.5531914893617021
11.1,51,2021-01-13 07:00:00,2021-01-24 13:22:00,0.6470588235294118
10.25,33,2020-12-21 07:46:00,2021-01-02 09:50:00,0.5151515151515151
10.17,2,2020-08-30 11:00:00,2020-08-30 12:00:00,0.5
10.16,31,2020-08-20 06:43:00,2020-09-05 10:37:00,0.6129032258064516
10.15,39,2020-08-06 06:49:00,2020-08-16 12:38:00,0.6410256410256411
10.14,37,2020-07-23 06:25:00,2020-08-02 11:32:00,0.6216216216216216
10.13,45,2020-07-08 06:29:00,2020-07-19 12:23:00,0.4888888888888889
10.12,45,2020-06-24 05:53:00,2020-07-05 11:45:00,0.5777777777777777
10.11,26,2020-06-17 05:27:00,2020-06-21 11:17:00,0.5384615384615384
10.7,40,2020-04-15 04:42:00,2020-04-30 08:36:00,0.5
10.6,62,2020-04-01 04:39:00,2020-04-12 12:28:00,0.5967741935483871
10.5,35,2020-03-25 05:23:00,2020-03-29 12:21:00,0.6
10.4,12,2020-03-04 07:08:00,2020-03-06 09:44:00,0.5
10.3,50,2020-02-19 06:49:00,2020-03-01 11:46:00,0.42
10.2,51,2020-02-05 06:34:00,2020-02-16 12:54:00,0.5490196078431373
9.24b,46,2019-12-23 07:46:00,2020-01-05 07:44:00,0.5217391304347826
9.16,16,2019-09-09 03:28:00,2019-09-11 09:04:00,0.5625
8.24b,43,2018-12-18 08:00:00,2018-12-31 09:51:00,0.5581395348837209
7.22,46,2017-11-20 06:27:00,2017-12-02 11:53:00,0.5217391304347826
6.21,32,2016-11-09 08:15:00,2016-11-19 11:48:00,0.65625
5.21,34,2015-11-06 05:20:00,2015-11-14 11:38:00,0.5588235294117647
